"AED Name","AED Address","Detailed location of the AED installed","Location Google Map coordinate: latitude","Location Google Map coordinate: longitude","Whether the AED can be used by anyone","Person allowed to operate the AED","Person who has access to the AED","Ground level categories","Service Hour Remark","AED brand","AED model","AED remark"
"Fire Services Headquarters Command","Fire Services Headquarters Building, 1 Hong Chong Road, Tsim Sha Tsui East, Kowloon.","Outside Main Entrance",22.3003503,114.1800602,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Fire and Ambulance Services Academy","11 Pak Shing Kok Road, Tseung Kwan O","Outside Main Entrance",22.306018813145,114.27456492394,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Central Fire Station","15 Cotton Tree Drive, Admiralty, Hong Kong","Outside Main Entrance",22.2781828,114.1614651,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Kotewall Fire Station","60 Kotewall Road, Mid-Levels, Hong Kong","Outside Main Entrance",22.2797246,114.1383913,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Kong Wan Fire Station","14 Harbour Road, Wan Chai, Hong Kong","Outside Main Entrance",22.2804057,114.1730571,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Sheung Wan Fire Station","2 Western Fire Services Street, Sheung Wan, Hong Kong","Outside Main Entrance",22.289024,114.148048,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Victoria Peak Fire Station","7 Gough Hill Path, The Peak, Hong Kong","Outside Main Entrance",22.2652042,114.1523191,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Wan Chai Fire Station","435 Hennessy Road, Wan Chai, Hong Kong","Outside Main Entrance",22.2796994,114.181417,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Chai Wan Fire Station","80 Sheung On Street, Chai Wan, Hong Kong","Outside Main Entrance",22.267237371115,114.24346344909,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"North Point Fire Station","38 Healthy Street East, North Point, Hong Kong","Outside Main Entrance",22.2926325,114.2076337,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Shau Kei Wan Fire Station","34 Chai Wan Road, Shau Kei Wan, Hong Kong.","Outside Main Entrance",22.2732238,114.2317719,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Tung Lo Wan Fire Station","111 Victoria Park Road, Hong Kong","Outside Main Entrance",22.2854579,114.1902529,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Ap Lei Chau Fire Station","300 Ap Lei Chau Bridge Road, Ap Lei Chau, Hong Kong","Outside Main Entrance",22.2433763,114.1522329,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Chung Hom Kok Fire Station","37 Chung Hom Kok Road, Chung Hom Kok, Hong Kong","Outside Main Entrance",22.2201399,114.2035004,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Kennedy Town Fire Station","6 New Praya street, Kennedy Town, Hong Kong","Outside Main Entrance",22.2837979,114.1280732,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Pok Fu Lam Fire Station","789 Pok Fu Lam Road, Hong Kong","Outside Main Entrance",22.2532014,114.1391382,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Sandy Bay Fire Station","313 Victoria Road, Hong Kong","Outside Main Entrance",22.2686009,114.1270978,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Aberdeen Fireboat Station ","100A Shek Pai Wan Road, Aberdeen, Hong Kong","Outside Main Entrance",22.247955628529,114.14859561716,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Central Fireboat Station","Central Government Pier, 32 Man Fai Street, Central, Hong Kong","Outside Main Entrance",22.2885468,114.1556865,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Cheung Chau Fire Station","1 Ping Chong Road, Cheung Chau, Hong Kong","Outside Main Entrance",22.212245,114.02627,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Cheung Chau Fireboat Station","8 Cheung Chau Sai Tai Road, Cheung Chau","Outside Main Entrance",22.2052418,114.024108,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Cheung Sha Fire Station","33 South Lantau Road, Lantau Island","Outside Main Entrance",22.23673,113.955672,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Discovery Bay Fire Station","1 Discovery Bay Road, Lantau Island","Outside Main Entrance",22.294464,114.016612,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Lamma Fire Station","30 Yung Shue Long Old Village, Lamma Island, Hong Kong","Outside Main Entrance",22.225571,114.114992,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Mui Wo Fire Station","12 Ngan Kwong Wan Road, Mui Wo, Lantau Island","Outside Main Entrance",22.2651852,113.9959526,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Peng Chau Fire Station ","16 Po Peng Street, Peng Chau, NT","Outside Main Entrance",22.285738,114.037107,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Tai O (Old) Fire Station","102 Shek Tsai Po Street, Tai O, Lautau Island","Outside Main Entrance",22.2551397,113.8603742,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Tai O Fire Station","120 Tai O Road, Tai O, Lantau Island","Outside Main Entrance",22.2523697,113.8666069,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Tsing Yi Fireboat Station ","Cheung Fai Road, Tsing Yi, NT","Outside Main Entrance",22.3506787,114.1109334,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Tuen Mun Fireboat Station","27 Ho Wo Street, Tuen Mun, New Territories","Outside Main Entrance",22.358826666484,113.95197075928,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Diving Base","Fire Services Department Diving Base, Government Dockyard, Ngong Shung Road","Outside Main Entrance",22.325122,114.142815,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Kai Tak Fire Station","5 Cheung Yip Street, Kowloon","Outside Main Entrance",22.3164696,114.2113553,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Ma Tau Chung Fire Station","109 Ma Tau Chung Road, Ma Tau Wai, Kowloon","Outside Main Entrance",22.3246225,114.1884764,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Ngau Chi Wan Fire Station","1 Clear Water Bay Road, Ngau Chi Wan, Kowloon","Outside Main Entrance",22.3346802,114.2085625,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Sai Kung Fire Station","1 Hong Kin Road, Sai Kung, NT","Outside Main Entrance",22.3770848,114.2649843,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Shun Lee Fire Station","33 Lee On Road, Kwun Tong, Kowloon","Outside Main Entrance",22.331326,114.2227499,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Wong Tai Sin Fire Station ","28 Fung Tak Road, Wong Tai Sin, Kowloon","Outside Main Entrance",22.3429917,114.1969289,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Kowloon Bay Fire Station","5 Lam Hing Street, Kowloon Bay, Kowloon","Outside Main Entrance",22.3244229,114.2057528,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Kwun Tong Fire Station","426 Kwun Tong Road, Kwun Tong, Kowloon","Outside Main Entrance",22.3120674,114.2259509,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Lam Tin Fire Station ","125 Kai Tin Road, Lam Tin, Kowloon","Outside Main Entrance",22.3117218,114.2348239,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Yau Tong Fire Station ","1 Ko Fai Road, Yau Tong, Kowloon","Outside Main Entrance",22.296536868372,114.2372587564,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Tsim Sha Tsui Fire Station","333 Canton Road, Tsim Sha Tsui, Kowloon","Outside Main Entrance",22.301167604948,114.16781670863,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Lai Chi Kok Fire Station","4 Po Lun Street, Cheung Sha Wan, Kowloon","Outside Main Entrance",22.3362436,114.1431225,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Mongkok Fire Station","181 Tong Mei Road, Kowloon","Outside Main Entrance",22.323899,114.164833,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Shek Kip Mei Fire Station","380 Nam Cheong Street, Shek Kip Mei, Kowloon","Outside Main Entrance",22.3390093,114.1669263,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Airport Main Fire Station","23 South Runway Road, Hong Kong International Airport, Lantau Island","Outside Main Entrance(Inside Closed Area)",22.298775081435,113.91442293254,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Airport Sub Fire Station","33 Chung Cheung Road, Hong Kong International Airport, Lantau Island","Outside Main Entrance(Inside Closed Area)",22.31077877823,113.92171712698,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Siu Lek Yuen Fire Station","1 Yuen Shun Circuit, Shatin, NT","Outside Main Entrance",22.3832119,114.205155,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Tai Po East Fire Station","68 Ting Kok Road, Tai Po, NT","Outside Main Entrance",22.4618981,114.1905431,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Tai Po Fire Station","3 Ting Kok Road, Tai Po, NT","Outside Main Entrance",22.4513498,114.1646737,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Mai Po Fire Station","31 Golden Bamboo Road North, Fairview Park, NT","Outside Main Entrance",22.4784738,114.0473838,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Pat Heung Fire Station ","4A Wang Toi Shan Yau Uk Tsuen, Pat Heung, Yuen Long, NT","Outside Main Entrance",22.4410069,114.0900559,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Sha Tau Kok Fire Station","60 Shun Hing Street, Sha Tau Kok, NT","Outside Main Entrance(Inside Closed Area)",22.5460009,114.2212638,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Sheung Shui Fire Station","8 Tin Ping Road, Sheung Shui, NT","Outside Main Entrance",22.5092289,114.1272604,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Heung Yuen Wai Fire Station","199 Lin Ma Hang Road, Ta Kwu Ling, NT","Outside Main Entrance(Inside Closed Area)",22.552536217692,114.15519580951,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Kwai Chung Fire Station","77-79 Hing Shing Road, Kwai Chung, NT","Outside Main Entrance",22.3616318,114.1283984,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Kwai Chung Work Shop","230 Lai King Hill Road, NT","Outside Main Entrance",22.342486533405,114.13217402639,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Lai King Fire Station","6 Wa Tai Road, Kwai Chung, NT","Outside Main Entrance",22.3493219,114.1319019,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Lei Muk Shue Fire Station","300 Wo Yi Hop Road, Kwai Chung, NT","Outside Main Entrance",22.3748314,114.136643,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Tsuen Wan Fire Station","453 Castle Peak Road - Tsuen Wan, Tsuen Wan, NT","Outside Main Entrance",22.375035,114.11156,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Chek Lap Kok Fire Station","10 Catering Road East, Chek Lap Kok, Lantau","Outside Main Entrance",22.3000672,113.933901,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Tsing Yi Fire Station","11 Tsing Yi Heung Sze Wui Road, Tsing Yi, NT","Outside Main Entrance",22.3509272,114.107969,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Tsing Yi South Fire Station ","100 Tsing Yi Road, Tsing Yi, NT","Outside Main Entrance",22.3368988,114.0937924,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Fu Tei Fire Station","21 Tuen Fu Road, Tuen Mun, NT","Outside Main Entrance",22.4108258,113.9797369,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Pillar Point Fire Station","3 Ho Wan Street, Tuen Mun, NT","Outside Main Entrance",22.366562125909,113.94702248836,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Shenzhen Bay Fire Station","Cargo Examination Area, Shenzhen Bay Port.","Outside Main Entrance(Inside Closed Area)",22.493526,113.943071,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Tai Lam Chung Fire Station","16 Tai Lam Chung Road, Tuen Mun, NT","Tai Lam Chung Road junction with Luen Hong Lane",22.363951273448198,114.02085768095094,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Tuen Mun Fire Station","102 Pui To Road, Tuen Mun, NT","Outside Main Entrance",22.3949656,113.9707925,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Braemar Hill Ambulance Depot","170 Tin Hau Temple Road, North Point, Hong Kong","Outside Main Entrance",22.288203554676226,114.20166385155528,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Chai Wan Ambulance Station","401-404 Chin Hing Hse, Hing Wah Estate, Chai Wan, Hong Kong","Outside Main Entrance",22.262719,114.233015,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Morrison Hill Ambulance Depot","8 Oi Kwan Road, Wan Chai, Hong Kong","Outside Main Entrance",22.2757684,114.1780034,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Sai Wan Ho Ambulance Depot ","22 Wai Hang Street, Sai Wan Ho, Hong Kong","Outside Main Entrance",22.2828376,114.2197081,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Aberdeen Ambulance Depot","1 Nam Fung Road, Aberdeen, Hong Kong.","Outside Main Entrance",22.250333751969,114.17385675949,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Mount Davis Ambulance Depot","2 Lung Wah Street, Kennedy Town, Hong Kong","Outside Main Entrance",22.2795018,114.1290487,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Pok Fu Lam Ambulance Depot","789 Pok Fu Lam Road, Hong Kong","Outside Main Entrance",22.2532458,114.1387135,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Lam Tin Ambulance Depot ","30 Lei Yue Mun Road, Kowloon","Outside Main Entrance",22.3035264,114.2359384,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Ngau Tau Kok Ambulance Depot","9 Siu Yip Street, Ngau Tau Kok, Kowloon","Outside Main Entrance",22.3200576,114.2122777,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
